,0,1,2,pH,label
37,0.8468525421885471,0.18314260696320966,-0.0486478819976197,4.0,0
36,0.7160976690975253,0.2120939608815836,-0.059190170040580636,4.0,0
35,0.5892626561936062,0.23195398397841807,-0.05704666873000383,4.0,0
33,0.5663626448993064,0.2868665624827047,-0.045575284913492706,4.0,0
31,0.6111215380597071,0.2587328621869872,-0.05299544946129324,4.0,0
30,0.5517440709079322,0.28173270110003684,-0.050901789519980055,4.0,0
34,0.5948544772657308,0.23414285100082774,-0.05236985357052781,4.0,0
32,0.48289043821510186,0.32792373402084424,-0.03533028314117014,4.0,0
46,1.4746442845509822,0.10042668284392756,0.02753459622562047,4.17,0
49,1.6869479689835276,0.07887461587677068,0.054001749182985,4.17,0
48,1.64700429681565,0.07869727145594353,0.053232204957092424,4.17,0
47,1.4159533437811682,0.12498200149163476,0.04164996806761727,4.17,0
45,1.5172532538689847,0.09788615727995213,0.031919242856502904,4.17,0
43,1.568868269733533,0.11999377888612334,0.05357218904155303,4.17,0
42,1.535408836940332,0.13146039902701367,0.05190102849168906,4.17,0
41,1.4308448606652644,0.12007917888234843,0.034551558766524576,4.17,0
40,1.4836122693423475,0.11663609152158348,0.031496062976386276,4.17,0
44,1.5340395757666947,0.11734928217487248,0.04095565524046811,4.17,0
59,2.335300871437542,-0.055615275626199036,0.1404068463859067,4.28,0
57,2.0285199487147088,0.03941960804663816,0.15625163173258283,4.28,0
56,2.054718771907088,0.027279231812425777,0.142027803315178,4.28,0
55,2.0938007564789833,0.019749624660723022,0.14045646526088848,4.28,0
58,2.1452978329970644,-0.00994692030858038,0.14877283756383358,4.28,0
53,2.1114771245711133,0.029247626488222656,0.1372200416653651,4.28,0
52,2.154731752261872,0.021229109328118223,0.1355922033759868,4.28,0
51,2.1584817419037643,0.052806562761034424,0.1531328734025285,4.28,0
50,2.1912280445699843,0.03940337097296648,0.14725078657158636,4.28,0
54,2.1105517398298543,0.011384194783250685,0.13651598687586444,4.28,0
60,2.848346175314285,-0.07601163559441813,0.29146329054176273,4.39,0
61,2.8417549493974112,-0.07380968662901553,0.27976924216299753,4.39,0
62,2.8427865150855154,-0.10351536401305439,0.2697942268225291,4.39,0
63,2.815805798220227,-0.10922028185385348,0.27196091316063997,4.39,0
64,2.782825687932607,-0.1196098013602704,0.26615062452953014,4.39,0
65,2.737006706937649,-0.12572124198116474,0.27410521507189506,4.39,0
66,2.727159504735288,-0.028481692050509592,0.28716501994402777,4.39,0
67,2.6859311897203613,-0.01652372249969818,0.282352064628254,4.39,0
68,2.6509783546734664,-0.015734538523496266,0.27427337986646433,4.39,0
69,2.611546944683514,-0.017117884185994862,0.26850499659184895,4.39,0
