Channel Wavelength(nm) Current BackGround Spectrum1 
864 920.43 2960 134 2960 
865 920.98 2988 146 2988 
866 921.52 2930 142 2930 
867 922.06 2950 152 2950 
868 922.61 2919 142 2919 
869 923.15 2905 149 2905 
870 923.7 2915 136 2915 
871 924.24 2913 152 2913 
872 924.78 2887 135 2887 
873 925.33 2883 149 2883 
874 925.87 2895 136 2895 
875 926.42 2869 143 2869 
876 926.96 2866 134 2866 
877 927.51 2864 142 2864 
878 928.05 2824 125 2824 
879 928.6 2802 142 2802 
880 929.14 2769 132 2769 
881 929.69 2789 150 2789 
882 930.23 2737 129 2737 
883 930.78 2714 151 2714 
884 931.32 2679 129 2679 
885 931.87 2663 144 2663 
886 932.41 2661 140 2661 
887 932.96 2601 141 2601 
888 933.5 2576 141 2576 
889 934.05 2550 145 2550 
890 934.59 2520 124 2520 
891 935.14 2494 147 2494 
892 935.68 2489 138 2489 
893 936.23 2404 147 2404 
894 936.78 2387 131 2387 
895 937.32 2384 142 2384 
896 937.87 2347 127 2347 
897 938.41 2330 150 2330 
898 938.96 2326 128 2326 
899 939.51 2330 141 2330 
900 940.05 2284 139 2284 
901 940.6 2312 148 2312 
902 941.15 2291 134 2291 
903 941.69 2288 152 2288 
904 942.24 2282 130 2282 
905 942.79 2270 151 2270 
906 943.33 2265 143 2265 
907 943.88 2303 142 2303 
908 944.43 2269 140 2269 
909 944.97 2306 149 2306 
910 945.52 2301 130 2301 
911 946.07 2276 151 2276 
912 946.61 2299 141 2299 
913 947.16 2324 146 2324 
914 947.71 2320 119 2320 
915 948.26 2300 160 2300 
916 948.8 2336 132 2336 
917 949.35 2353 145 2353 
918 949.9 2336 134 2336 
919 950.44 2355 139 2355 
920 950.99 2340 137 2340 
921 951.54 2342 142 2342 
922 952.09 2345 134 2345 
923 952.63 2337 156 2337 
